State,ST,2012DemPop,2012RepPop,2012_D/(D+R),2012_Win,2008DemPop,2008RepPop,2008_D/(D+R),2008_Win,2004DemPop,2004RepPop,2004_D/(D+R),2004_Win,2000DemPop,2000RepPop,2000NaderPop,2000_D/(D+R),2000_Win,1996 Dem Pop,1996 Rep Pop,1996 Perot Pop,1996_D/(D+R),1996_Win
Alabama,AL,795696,1255925,0.3878,0,813479,1266546,0.3911,0,693933,1176394,0.371,0,695602,944409,18349,0.4241,0,662165,769044,92149,0.462661288,0
Alaska,AK,122640,164676,0.4268,0,123594,193841,0.3894,0,111025,190889,0.3677,0,79004,167398,28747,0.3206,0,80380,122746,26333,0.395714975,0
Arizona,AZ,1025232,1233654,0.4539,0,1034707,1230111,0.4569,0,893524,1104294,0.4472,0,685341,781652,45645,0.4672,0,653288,622073,112072,0.512237712,1
Arkansas,AR,394409,647744,0.3785,0,422310,638017,0.3983,0,469953,572898,0.4506,0,422768,472940,13421,0.472,0,475171,325416,69884,0.593528249,1
California,CA,7854285,4839958,0.6187,1,8274473,5011781,0.6228,1,6745485,5509826,0.5504,1,5861203,4567429,418707,0.562,1,5119835,3828380,697847,0.572162716,1
Colorado,CO,1323101,1185243,0.5275,1,1288633,1073629,0.5455,1,1001732,1101255,0.4763,0,738227,883745,91434,0.4551,0,671152,691848,99629,0.492407924,0
Connecticut,CT,905109,634899,0.5877,1,997773,629428,0.6132,1,857488,693826,0.5527,1,816015,561094,64452,0.5926,1,735740,483109,139523,0.603635069,1
Delaware,DE,242584,165484,0.5945,1,255459,152374,0.6264,1,200152,171660,0.5383,1,180068,137288,8307,0.5674,1,140355,99062,28719,0.586236566,1
District of Columbia,DC,267070,21381,0.9259,1,245800,17367,0.934,1,202970,21256,0.9052,1,171923,18073,10576,0.9049,1,158220,17339,3611,0.901235482,1
Florida,FL,4237756,4163447,0.5044,1,4282367,4046219,0.5142,1,3583544,3964522,0.4748,0,2912253,2912790,97488,0.5,0,2546870,2244536,483870,0.531549612,1
Georgia,GA,1773827,2078688,0.4604,0,1844123,2048759,0.4737,0,1366149,1914254,0.4165,0,1116230,1419720,13432,0.4402,0,1053849,1080843,146337,0.493677308,0
Hawaii,HI,306658,121015,0.717,1,325871,120566,0.7299,1,231708,194191,0.544,1,205286,137845,21623,0.5983,1,205012,113943,27358,0.642761518,1
Idaho,ID,212787,420911,0.3358,0,236440,403012,0.3698,0,181098,409235,0.3068,0,138637,336937,12292,0.2915,0,165443,256595,62518,0.392009724,0
Illinois,IL,3019512,2135216,0.5858,1,3419348,2031179,0.6273,1,2891550,2345946,0.5521,1,2589026,2019421,103759,0.5618,1,2341744,1587021,346408,0.596050922,1
Indiana,IN,1152887,1420543,0.448,0,1374039,1345648,0.5052,1,969011,1479438,0.3958,0,901980,1245836,18531,0.42,0,887424,1006693,224299,0.468515936,0
Iowa,IA,822544,730617,0.5296,1,828940,682379,0.5485,1,741898,751957,0.4966,0,638517,634373,29374,0.5016,1,620258,492644,105159,0.557333889,1
Kansas,KS,440726,692634,0.3889,0,514765,699655,0.4239,0,434993,736456,0.3713,0,399276,622332,36086,0.3908,0,387659,583245,92639,0.399276345,0
Kentucky,KY,679370,1087190,0.3846,0,751985,1048462,0.4177,0,712733,1069439,0.3999,0,638898,872492,23192,0.4227,0,636614,623283,120396,0.505290512,1
Louisiana,LA,809141,1152262,0.4125,0,782989,1148275,0.4054,0,820299,1102169,0.4267,0,792344,927871,20473,0.4606,0,927837,712586,123293,0.565608383,1
Maine,ME,401306,292276,0.5786,1,421923,295273,0.5883,1,396842,330201,0.5458,1,319951,286616,37127,0.5275,1,312788,186378,85970,0.626621204,1
Maryland,MD,1677844,971869,0.6332,1,1629467,959862,0.6293,1,1334493,1024703,0.5657,1,1145782,813797,53768,0.5847,1,966207,681530,115812,0.586384235,1
Massachusetts,MA,1921761,1188460,0.6179,1,1904098,1108854,0.632,1,1803800,1071109,0.6274,1,1616487,878502,173564,0.6479,1,1571763,718107,227217,0.686398354,1
Michigan,MI,2564569,2115256,0.548,1,2872579,2048639,0.5837,1,2479183,2313746,0.5173,1,2170418,1953139,84165,0.5263,1,1989653,1481212,336670,0.573244134,1
Minnesota,MN,1546167,1320225,0.5394,1,1573354,1275409,0.5523,1,1445014,1346695,0.5176,1,1168266,1109659,126696,0.5129,1,1120438,766476,257704,0.593793888,1
Mississippi,MS,562949,710746,0.442,0,554662,724597,0.4336,0,458094,684981,0.4008,0,404964,573230,8126,0.414,0,394022,439838,52222,0.472527762,0
Missouri,MO,1223796,1482440,0.4522,0,1441911,1445814,0.4993,0,1259171,1455713,0.4638,0,1111138,1189924,38515,0.4829,0,1025935,890016,217188,0.535470375,1
Montana,MT,201839,267928,0.4297,0,232159,243882,0.4877,0,173710,266063,0.395,0,137126,240178,24437,0.3634,0,167922,179652,55229,0.483125895,0
Nebraska,NE,302081,475064,0.3887,0,333319,452979,0.4239,0,254328,512814,0.3315,0,231780,433862,24540,0.3482,0,236761,363467,71278,0.394451775,0
Nevada,NV,531373,463567,0.5341,1,533736,412827,0.5639,1,397190,418690,0.4868,0,279978,301575,15008,0.4814,0,203974,199244,43986,0.505865314,1
NewHampshire,NH,369561,329918,0.5283,1,384826,316534,0.5487,1,340511,331237,0.5069,1,266348,273559,22198,0.4933,0,246214,196532,48390,0.556106662,1
NewJersey,NJ,2126610,1478749,0.5898,1,2215422,1613207,0.5786,1,1911430,1670003,0.5337,1,1788850,1284173,94554,0.5821,1,1652329,1103078,262134,0.599667853,1
NewMexico,NM,415335,335788,0.553,1,472422,346832,0.5766,1,370942,376930,0.496,0,286783,286417,21251,0.5003,1,273495,232751,32257,0.540241306,1
