"sex","age","race","education","state","division","region","ideology","party.id","vote.2008","obama","romney","other","state.last.vote.share"
"male","18-29","white","some college","PA","MA","NE","conservative","republican","republican",0,57,2,0.5523
"male","18-29","white","high school graduate","NH","NE","NE","moderate","republican","did not vote in 2008",1,1,0,0.5487
"male","30-44","white","some college","NC","SA","S","conservative","independent/other","republican",2,20,0,0.5017
"male","18-29","white","high school graduate","OK","WSC","S","conservative","republican","republican",0,23,0,0.3435
"male","18-29","white","high school graduate","KY","ESC","S","moderate","independent/other","did not vote in 2008",6,3,8,0.4177
"male","18-29","white","high school graduate","PA","MA","NE","conservative","independent/other","did not vote in 2008",2,9,0,0.5523
"male","18-29","white","less than high school","CT","NE","NE","liberal","democrat","democrat",3,0,0,0.6132
"male","45-64","white","college graduate","OH","ENC","MW","conservative","republican","republican",0,17,0,0.5233
"male","18-29","white","high school graduate","NC","SA","S","conservative","republican","republican",2,44,0,0.5017
"male","30-44","white","high school graduate","UT","M","W","conservative","independent/other","democrat",0,1,0,0.3547
"male","30-44","white","some college","GA","SA","S","conservative","republican","democrat",0,4,0,0.4737
"male","30-44","black","high school graduate","VA","SA","S","moderate","democrat","democrat",5,0,0,0.5318
"male","45-64","white","high school graduate","CA","P","W","conservative","republican","republican",0,10,0,0.6228
"male","18-29","white","some college","FL","SA","S","moderate","republican","republican",1,15,0,0.5142
"male","18-29","white","college graduate","PA","MA","NE","conservative","republican","republican",1,70,2,0.5523
"male","65+","other","college graduate","CA","P","W","moderate","democrat","democrat",1,0,0,0.6228
"male","18-29","white","college graduate","AZ","M","W","conservative","republican","republican",0,49,3,0.4569
"male","18-29","hispanic","some college","CO","M","W","conservative","republican","republican",0,5,0,0.5455
"male","18-29","white","some college","CA","P","W","moderate","independent/other","did not vote in 2008",28,15,18,0.6228
"male","18-29","black","high school graduate","FL","SA","S","liberal","democrat","democrat",7,0,0,0.5142
"male","18-29","black","high school graduate","AZ","M","W","moderate","independent/other","did not vote in 2008",2,0,0,0.4569
"male","18-29","white","some college","MI","ENC","MW","moderate","independent/other","democrat",27,6,5,0.5837
"male","18-29","hispanic","college graduate","VA","SA","S","moderate","democrat","did not vote in 2008",1,0,0,0.5318
"male","30-44","white","some college","TX","WSC","S","conservative","republican","republican",0,107,0,0.4406
"male","30-44","white","high school graduate","MI","ENC","MW","liberal","democrat","democrat",11,0,0,0.5837
"male","18-29","white","some college","MI","ENC","MW","liberal","democrat","democrat",37,0,0,0.5837
"male","18-29","white","high school graduate","MO","WNC","MW","moderate","independent/other","did not vote in 2008",21,5,13,0.4993
"male","30-44","white","high school graduate","OR","P","W","conservative","republican","republican",0,12,0,0.5841
"female","45-64","other","some college","WA","P","W","moderate","democrat","democrat",2,0,0,0.5875
"male","18-29","white","high school graduate","PA","MA","NE","moderate","republican","did not vote in 2008",2,16,0,0.5523
"male","30-44","white","college graduate","IN","ENC","MW","conservative","republican","did not vote in 2008",0,2,0,0.5052
"male","18-29","white","high school graduate","WA","P","W","conservative","republican","republican",1,46,0,0.5875
"male","18-29","white","high school graduate","WI","ENC","MW","moderate","independent/other","did not vote in 2008",8,9,2,0.5706
"male","18-29","white","some college","FL","SA","S","conservative","independent/other","republican",0,13,1,0.5142
