State,Total
Alabama,2074338
Alaska,300495
Arizona,2299254
Arkansas,1069468
California,13038547
Colorado,2569520
Connecticut,1558960
Delaware,413921
District of Columbia,293764
Florida,8474179
Georgia,3900050
Hawaii,434697
Idaho,652274
Illinois,5242014
Indiana,2624534
Iowa,1582180
Kansas,1159971
Kentucky,1797212
Louisiana,1994065
Maine,713180
Maryland,2707327
Massachusetts,3167767
Michigan,4730961
Minnesota,2936561
Mississippi,1285584
Missouri,2757323
Montana,484048
Nebraska,794379
Nevada,1014918
New Hampshire,710972
New Jersey,3640292
New Mexico,783758
New York,7081159
North Carolina,4505372
North Dakota,322627
Ohio,5580840
Oklahoma,1334872
Oregon,1789270
Pennsylvania,5753670
Rhode Island,446049
South Carolina,1964118
South Dakota,363815
Tennessee,2458577
Texas,7993851
Utah,1017440
Vermont,299290
Virginia,3854490
Washington,3125516
West Virginia,670438
Wisconsin,3068434
Wyoming,249061
